selection_manual_fix,weighted_votes
The French Connection,4
The Graduate,4
The Great Dictator,4
The Producers,4
The Treasure Of The Sierra Madre,4
The Wind,4
The Wings Of Eagles,4
The Wrong Trousers,4
"Too Early, Too Late",4
Trois Couleurs Rouge,4
Trouble Every Day,4
Tystnaden,4
Ultimo Tango A Parigi,4
Vitalina Varela,4
Vredens Dag,4
Went The Day Well?,4
When Harry Met Sally...,4
Whiplash,4
Wild At Heart,4
Working Girls: 1986,4
Yeelen,4
Young Mr. Lincoln,4
Yulskii Dozhd,4
Zabriskie Point,4
Zastava Ilyicha,4
A Idade Da Terra,3.5
Amadeus,3.5
Ba Wang Bie Ji,3.5
Dog Star Man,3.5
I Am Cuba,3.5
Intervention Divine,3.5
Losing Ground,3.5
Loves Of A Blonde,3.5
Mean Streets,3.5
Opening Night,3.5
Oyu-Sama,3.5
Paprika,3.5
Persepolis,3.5
Portrait Of Jennie,3.5
Raise The Red Lantern,3.5
Requiem For A Dream,3.5
The Apple,3.5
The Crowd,3.5
The Hour Of The Furnaces,3.5
The New World,3.5
The Philadelphia Story,3.5
The Wonders,3.5
Xala,3.5
An Elephant Sitting Still,3.3333333333333335
Hyènes,3.3333333333333335
3 Women,3
7th Heaven,3
A Corner In Wheat,3
À Propos De Nice,3
A Torinói Ió,3
All The President's Men,3
American Graffiti,3
Amsterdam Global Village,3
Artificial Intelligence  A.i.,3
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses Of Beauty",3
At Land,3
Bakushû,3
Bara No Soretsu,3
Blow Out,3
Call Me By Your Name,3
Camp De Thiaroye,3
Certain Women,3
Close Encounters Of The Third Kind,3
Cul-De-Sac,3
Daguerréotypes,3
Dekalog,3
Démanty Noci,3
Design For Living,3
Deux Anglaises Et Le Continent,3
Die Ehe Der Maria Braun,3
Die Zweite Heimat,3
Dillinger È Morto,3
Dishonored,3
Dvadtsat Dnei Bez Voini,3
El Verdugo,3
Empire,3
Everything Everywhere All At Once,3
Femmes Femmes,3
Force Of Evil,3
Gegen Die Wand,3
Gravity,3
Grey Gardens,3
Hail The Conquering Hero,3
Halloween,3
Harold And Maude,3
Hatari!,3
Hellraiser,3
Hellzapoppin',3
Heremias,3
High And Low,3
"Hitler, A Film From Germany",3
Hoop Dreams,3
How Green Was My Valley,3
Il Grido,3
Il Sorpasso,3
In Einem Jahr Mit 13 Monden,3
In The Cut,3
Inside Out,3
Interstellar,3
Jalsaghar,3
Jeder Für Sich Und Gott Gegen Alle,3
Kahdeksan Surmanluotia,3
Kanzashi,3
Ke Tu Chiu Hen,3
Koyaanisqatsi: Life Out Of Balance,3
Krótki Film O Zabijaniu,3
Kynodontas,3
L' Âge D'or,3
L' Enfance Nue,3
L' Inconnu Du Lac,3
La Chute De La Maison Usher,3
La Double Vie De Véronique,3
La Maison Des Bois,3
La Notte,3
La Planète Sauvage,3
La Pointe Courte,3
La Strada,3
La Terra Trema,3
Ladies' Man,3
Land Without Bread,3
Le Cercle Rouge,3
Le Diable Probablement,3
Le Pont Du Nord,3
Le Rouge Aux Lèvres,3
Le Salaire De La Peur,3
Le Vent Nous Emportera,3
Les Nuits De La Pleine Lune,3
Les Vacances De M. Hulot,3
Les Yeux Sans Visage,3
Lucky Star,3
Malcolm X,3
Mamma Roma,3
Maynila Sa Mga Kuko Ng Liwanag,3
Memento,3
Mes Petites Amoureuses,3
Midnight Cowboy,3
Mildred Pierce,3
Monty Python's Life Of Brian,3
Mother And Son,3
Moulin Rouge,3
"Mujeres Al Borde De Un Ataque De ""Nervios""",3
My Childhood,3
Naked,3
Nanook Of The North,3
New York New York,3
Night Mail,3
Night Of The Living Dead,3
Night On Earth,3
Ninotchka,3
No Home Movie,3
O Fantasma,3
O Lucky Man!,3
Obrazy Stareho Sveta,3
Old Joy,3
On Connaît La Chanson,3
Ossessione,3
Ovoce Stromu Rajskych Jime,3
Pasqualino Settebellezze,3
Plácido,3
Poznavaya Belyi Svet,3
"Quo Vadis, Aida?",3
Rain,3
Rekopis Znaleziony W Saragossie,3
Rocks,3
Roma: 1972,3
Roma: 2018,3
Rose Hobart,3
Rosemary's Baby,3
Russki Kovcheg,3
Ryan's Daughter,3
Saikaku Ichidai Onna,3
Sånger Från Andra Våningen,3
Saute Ma Ville,3
Sennen Joyu,3
Shatranj-E Baad,3
Skazka Skazok,3
Soft Fiction,3
Solaris,3
Son Nom De Venise Dans Calcutta Desert,3
Speed Racer,3
Stories We Tell,3
Stray Dogs,3
Suna No Onna,3
Sweet Smell Of Success,3
"Synecdoche, New York",3
The Act Of Seeing With One's Own Eyes,3
The Best Years Of Our Lives,3
The Dead,3
The Devils,3
The Exorcist,3
The Fountainhead,3
The Girl Chewing Gum,3
The Grand Budapest Hotel,3
The Hurt Locker,3
The Lady Vanishes,3
The Long Goodbye,3
The Maltese Falcon,3
The Party,3
The Perfumed Nightmare,3
The Pianist,3
The Rider,3
The Scarlet Empress,3
The Shawshank Redemption,3
The Social Network,3
The Sorrow And The Pity,3
The Souvenir,3
The Student Prince In Old Heidelberg,3
The Talented Mr. Ripley,3
The Terminator,3
The Unknown,3
Thelma & Louise,3
To Have And Have Not,3
Un Prophète,3
Una Vita Difficile,3
Unsichtbare Gegner,3
Vale Abraão,3
Videograms Of A Revolution,3
Volver,3
Wake In Fright,3
Wall-E,3
Week End,3
When The Wind Blows,3
Wo Hu Zang Long,3
Yojimbo,3
You Were Never Really Here,3
Zangiku Monogatari,3
Zendegi Va Digar Hich...,3
Zir-E Darakhtan-E Zeyton,3
Zodiac,3
All That Jazz,2.5
Anna,2.5
Aparajito,2.5
Ashes And Diamonds,2.5
Bab Al-Hadid,2.5
But I'm A Cheerleader,2.5
City Girl,2.5
Enter The Void,2.5
Eternal Sunshine Of The Spotless Mind,2.5
Five Year Diary,2.5
Freaks,2.5
Ganja & Hess,2.5
Il Était Une Fois Un Pays,2.5
Johanna D'arc Of Mongolia,2.5
Kurutta Ippeiji,2.5
Land Of Silence And Darkness,2.5
Le Crime De M. Lange,2.5
Le Plaisir,2.5
Le Voyage Dans La Lune,2.5
Les Amants Du Pont-Neuf,2.5
Lola,2.5
Marnie,2.5
Moonfleet,2.5
Nostalghia,2.5
Oblomok Imperii,2.5
On The Waterfront,2.5
Onibaba,2.5
Set It Off,2.5
Sholay,2.5
Spalovac Mrtvol,2.5
The River: 1929,2.5
The Smiling Lieutenant,2.5
12 Years A Slave,2
1900,2
2 Ou 3 Choses Que Je Sais D'elle,2
A Diary For Timothy,2
A Ghost Story,2
A Hard Day's Night,2
A History Of Violence,2
A Ilha Dos Amores,2
A Man Vanishes,2
À Nos Amours,2
A Star Is Born,2
A Streetcar Named Desire,2
A Time To Love And A Time To Die,2
Adieu Philippine,2
After Hours,2
Airplane!,2
Akasen Chitai,2
Alice In Den Städten,2
All My Life,2
Amma Ariyan,2
Amor De Perdição,2
Amour,2
Anatomy Of A Murder,2
Appropriate Behavior,2
Appunti Per Un'orestiade Africana,2
Asparagus,2
Assault On Precinct 13,2
At Sea,2
Baby's Breakfast,2
Babylon,2
Bad Timing,2
Badkonak-E Sefid,2
Bambi,2
Bamboozled,2
Banditi A Orgosolo,2
Barres,2
Basic Instinct,2
Bastards,2
Before Sunrise,2
"Belfast, Maine",2
Beoning,2
Beyond The Valley Of The Dolls,2
"Beyrouth, Ma Ville",2
Bigger Than Life,2
Bildnis Einer Trinkerin,2
Black Panther,2
Blue Black Permanent,2
Body Double,2
Boogie Nights,2
Bouquets 1-10,2
Bride Of Frankenstein,2
Broadcast News,2
Brokeback Mountain,2
Buffalo '66,2
C'eravamo Tanto Amati,2
Cameraperson,2
Campanadas A Medianoche,2
Carlito's Way,2
Carlos  Première Partie,2
Carnival Of Souls,2
Cat People,2
Cet Obscur Objet Du Désir,2
Ceux De Chez Nous,2
Charade,2
Christine,2
Christmas On Earth,2
Compensation,2
Comrades,2
Crime Wave,2
Crimes And Misdemeanors,2
Crossroads,2
Cure,2
Czlowiek Z Marmuru,2
Dalla Nube Alla Resistenza,2
Dazed And Confused,2
De Stilte Rond Christine M.,2
Deliverance,2
Der Tiger Von Eschnapur,2
Desert Hearts,2
Die Dritte Generation,2
Die Sehnsucht Der Veronika Voss,2
Die Tausend Augen Des Dr. Mabuse,2
Dirty Harry,2
Do Ma Dan,2
Dolor Y Gloria,2
Donnie Darko,2
Double Tide,2
"Dr. Mabuse, Der Spieler 1. Teil: Der Große Spieler  Spieler - Ein Bild Unserer Zeit",2
Dracula,2
Drive My Car,2
Duck Amuck,2
Dupe Od Mramora,2
