selection_manual_fix,weighted_votes
Bab Al-Hadid,2.5
Blue,2.5
But I'm A Cheerleader,2.5
Cemetery Of Splendour,2.5
Charulata,2.5
D'est,2.5
Das Weisse Band Eine Deutsche Kindergeschichte,2.5
Die Bitteren Tränen Der Petra Von Kant,2.5
Enter The Void,2.5
Ganja & Hess,2.5
It Happened One Night,2.5
Johanna D'arc Of Mongolia,2.5
Koyaanisqatsi: Life Out Of Balance,2.5
Le Samouraï,2.5
Losing Ground,2.5
Ma Nuit Chez Maud,2.5
On The Waterfront,2.5
Onibaba,2.5
Set It Off,2.5
Sholay,2.5
The Apple,2.5
The Birds,2.5
The Conversation,2.5
The Holy Mountain,2.5
The Last Laugh,2.5
The Philadelphia Story,2.5
Two-Lane Blacktop,2.5
Viridiana,2.5
Where Is The Friend's House?,2.5
12 Years A Slave,2
2 Ou 3 Choses Que Je Sais D'elle,2
A Hard Day's Night,2
À Nos Amours,2
A Touch Of Zen,2
After Hours,2
Airplane!,2
All The President's Men,2
Amma Ariyan,2
An Autumn Afternoon,2
An Elephant Sitting Still,2
Anatomy Of A Murder,2
Annie Hall,2
Appropriate Behavior,2
Apur Sansar,2
Ba Wang Bie Ji,2
Babylon,2
Bad Timing,2
Badkonak-E Sefid,2
Bamboozled,2
Bastards,2
Beyond The Valley Of The Dolls,2
"Beyrouth, Ma Ville",2
Black Panther,2
Blow Out,2
Born In Flames,2
Boyhood,2
Brief Encounters,2
Broadcast News,2
Cabaret,2
Camp De Thiaroye,2
Carnival Of Souls,2
Carol,2
Certain Women,2
Chronik Der Anna Magdalena Bach,2
Compensation,2
Crash,2
Crime Wave,2
Crossroads,2
De Stilte Rond Christine M.,2
Die Abenteuer Des Prinzen Achmed,2
Die Ehe Der Maria Braun,2
Die Zweite Heimat,2
Double Tide,2
El Mumia,2
Eternal Sunshine Of The Spotless Mind,2
Eureka,2
Everything Everywhere All At Once,2
Faces Places,2
Fantasia,2
Far From Heaven,2
Faustrecht Der Freheit,2
Female Trouble,2
Fight Club,2
Fish Tank,2
Five Year Diary,2
For A Few Dollars More,2
For Sama,2
Force Of Evil,2
Fuses,2
Gallivant,2
Gegen Die Wand,2
Ghost World,2
Gojira,2
Gold Diggers Of 1933,2
Gone With The Wind,2
"Goto, L'ile D'amour",2
Gravity,2
Halloween,2
Hannah And Her Sisters,2
Hausu,2
Hellzapoppin',2
High And Low,2
Hiroshima Mon Amour,2
Howards End,2
I Am Not Your Negro,2
Il Posto,2
Illusions,2
In A Lonely Place,2
In The Cut,2
Inazuma,2
Inception,2
Indiana Jones And The Last Crusade,2
Inside Llewyn Davis,2
Inside Out,2
Irréversible,2
Ivan Grozni Ii  Boyarski Zagorov,2
"Je, Tu, Il, Elle",2
Jeder Für Sich Und Gott Gegen Alle,2
Just Another Girl On The I.r.t.,2
Kangchenjunga,2
Ke Tu Chiu Hen,2
Kiss Me Deadly,2
L' Empire Des Sens,2
"L' Hippocampe Ou ""Cheval Marin""",2
La Batalla De Chile: La Lucha De Un Pueblo Sin Armas: La Insur Eccion De La Burguesia,2
La Meglio Gioventù,2
La Niña Santa,2
La Notte,2
La Strada,2
Lazzaro Felice,2
Le Rouge Aux Lèvres,2
Le Vent Nous Emportera,2
Les Yeux Sans Visage,2
Limite,2
Little Shop Of Horrors,2
Lola Montès,2
Lola Rennt,2
Lone Star,2
Lost In Translation,2
Madame De...,2
Maeve,2
Margaret,2
Mary And Max,2
Max Mon Amour,2
Meek's Cutoff,2
Midsommar,2
Mouchette,2
Mr. Klein,2
Multiple Maniacs,2
My Childhood,2
Mysterious Skin,2
Naissance Des Pieuvres,2
Near Dark,2
Night And Fog,2
Night Mail,2
Night Of The Living Dead,2
No Country For Old Men,2
Nomadland,2
"Nuestra Voz De Tierra, Memoria Y Futuro",2
Nuts In May,2
Offret  Sacrificatio,2
Ohayo,2
Oldboy,2
Ossessione,2
Paprika,2
Pasqualino Settebellezze,2
Penda's Fen,2
Peppermint Candy,2
Planet Of The Apes,2
Portrait Of Jennie,2
Pressure,2
"Quo Vadis, Aida?",2
Raw,2
Red Desert,2
