selection_manual_fix,weighted_votes
Ukigusa,1
Ulysse,1
Um Filme Falado,1
Umarete Wa Mita Keredo,1
Umberto D.,1
Un Chien Andalou,1
Un Flic,1
Uncle Boonmee Who Can Recall His Past Lives,1
Unsichtbare Gegner,1
V Lyudyakh,1
Vagabond,1
Vámonos Con Pancho Villa,1
Vampyr,1
Van Gogh,1
Village De Namo Panorama Pris D'une Chaise A Porteurs,1
Wake In Fright,1
Wayne's World,1
Week End,1
Wild Strawberries,1
Window Water Baby Moving,1
Written On The Wind,1
Y Tu Mamá También,1
Yan Fen Jie (Remnants),1
Yi Yi,1
Ying Xiong (Hero),1
Young Mr. Lincoln,1
Zabriskie Point,1
Zacharovannaya Desna,1
Zefiro Torna Or Scenes From The Life Of George Maciunas,1
Zendegi Va Digar Hich...,1
Zéro De Conduite,1
NA,1
F For Fake,0.8333333333333333
A Separation,0.5
Agarrando Pueblo (The Vampires Of Poverty),0.5
Ana,0.5
Araya,0.5
Astenichesky Sindrom,0.5
Battling Butler,0.5
Before Sunrise,0.5
Bless Their Little Hearts,0.5
Breaking The Waves,0.5
Canoa,0.5
Casque D'or,0.5
City Girl,0.5
Come And See,0.5
Diablo Nunca Duerme (The Devil Never Sleeps),0.5
Dodes'ka-Den,0.5
El Lugar Sin Limites,0.5
Enamorada,0.5
Eraserhead,0.5
Falling Lessons,0.5
Funny Games,0.5
Ganga Bruta,0.5
Histoires D'amérique,0.5
In The Stone House,0.5
Invasion,0.5
It Has To Be Lived Once And Dreamed Twice,0.5
Kurutta Ippeiji,0.5
Macario,0.5
Marnie,0.5
Na Srebrnym Globie,0.5
Nagaya Shinshiroku,0.5
North By Northwest,0.5
Opção As Rosas Da Estrada,0.5
Opening Night,0.5
Outer And Inner Space,0.5
Paprika,0.5
Passacaglia Y Fuga,0.5
Performance,0.5
Portrait Of A Lady On Fire,0.5
Que Vivan Los Crotos,0.5
Republic Steel Strike Riot Newsreel Footage,0.5
Running On Empty,0.5
Se7en,0.5
Spirited Away,0.5
Sweet Movie,0.5
The Exterminating Angel,0.5
The Holy Mountain,0.5
The Smiling Lieutenant,0.5
The Tale Of The Princess Kaguya,0.5
The Thing,0.5
They Live,0.5
Touch Of Evil,0.5
Tres Tristes Tigres,0.5
Uski Roti,0.5
Winter Ade,0.5
Yawar Mallku,0.5
M,0.3333333333333333
"Stromboli, Terra Di Dio",0.3333333333333333
