selection_manual_fix,weighted_votes
Offret  Sacrificatio,7
Oldboy,7
People On Sunday,7
Sarineui Chueok,7
Shoes,7
Showgirls,7
Splendor In The Grass,7
The Awful Truth,7
The Chelsea Girls,7
The Heartbreak Kid,7
The Holy Mountain,7
The King Of Comedy,7
The Silence Of The Lambs,7
The Travelling Players,7
The Virgin Suicides,7
The Wicker Man,7
The Wind,7
"Too Early, Too Late",7
Variety,7
Viridiana,7
Written On The Wind,7
Zendegi Va Digar Hich...,7
2 Ou 3 Choses Que Je Sais D'elle,6
7 Women,6
A Colour Box,6
A Star Is Born,6
Aparajito,6
Az En Xx. Szazadom,6
Bab Al-Hadid,6
Before Sunset,6
Berlin Alexanderplatz,6
Brazil,6
Carrie: 1976,6
Chronik Der Anna Magdalena Bach,6
Clueless,6
Das Testament Des Dr. Mabuse,6
Death In Venice,6
Diary Of A Country Priest,6
Duvidha,6
Eternal Sunshine Of The Spotless Mind,6
Exotica,6
Fargo,6
Festen,6
Francesco Giullare Di Dio,6
Ganja & Hess,6
Girlhood,6
Grey Gardens,6
Hoop Dreams,6
How Green Was My Valley,6
If....,6
Il Posto,6
Intervention Divine,6
Kanehsatake: 270 Years Of Resistance,6
Kiss Me Deadly,6
"L' Une Chante, L'autre Pas",6
La Haine,6
La Nuit Américaine,6
La Vie D'adèle  Chapitres 1 Et 2,6
Le Locataire,6
Lost In Translation,6
Lovers Rock,6
Make Way For Tomorrow,6
Malcolm X,6
Mandabi,6
Manhattan,6
Marie Antoinette,6
Mean Streets,6
Moartea Domnului Lazarescu,6
Monsoon Wedding,6
Mothlight,6
"Mujeres Al Borde De Un Ataque De ""Nervios""",6
Nanook Of The North,6
Night Of The Living Dead,6
Nitrate Kisses,6
No Country For Old Men,6
No Home Movie,6
Nomadland,6
Nostalghia,6
Ohayo,6
Palombella Rossa,6
Phantom Of The Paradise,6
Picnic At Hanging Rock,6
Point Break,6
Portrait Of Jennie,6
Raise The Red Lantern,6
Roma: 2018,6
Shatranj-E Baad,6
Shoplifters,6
Suna No Onna,6
Teorema,6
Terminator 2  Judgment Day,6
The Clock: 2010,6
The Dark Knight,6
The Emperor's Naked Army Marches On,6
The Great Dictator,6
The Kid,6
The Lady Eve,6
The Perfumed Nightmare,6
The Wedding March,6
The Wings Of Eagles,6
Three Colours Blue,6
Titanic,6
Toy Story,6
Uccellacci E Uccellini,6
Vitalina Varela,6
W.r. - Mysteries Of The Organism,6
Wake In Fright,6
Welfare,6
Wo Hu Zang Long,6
Xala,6
Young Mr. Lincoln,6
Aiqing Wansui,5
Akahige,5
Aliens,5
Anatomy Of A Murder,5
Arrival,5
At Land,5
Brief Encounters,5
Broadcast News,5
Cabaret,5
Cameraperson,5
Casino,5
Cemetery Of Splendour,5
"Dance, Girl, Dance",5
Dawson City: Frozen Time,5
Die Hard,5
Diqiu Zuihou De Yewan,5
Dog Star Man,5
Dogville,5
Everything Everywhere All At Once,5
Faustrecht Der Freheit,5
First Cow,5
Flaming Creatures,5
French Cancan,5
Gangs Of Wasseypur,5
Goodbye To Language,5
Happy Hour,5
Hard To Be A God,5
Husbands  A Comedy About Life Death And Freedom,5
I Am Somebody,5
Ida,5
Il Était Une Fois Un Pays,5
In Film Nist,5
In The Cut,5
Jalsaghar,5
Kes,5
"Khroustaliov, Ma Voiture!",5
Körkarlen,5
L' Âge D'or,5
La Belle Et La Bête,5
La Petite Vendeuse De 'Soleil',5
La Pointe Courte,5
La Rue Cases-Nègres,5
La Terra Trema,5
Le Boucher,5
Le Camion,5
Le Crime De M. Lange,5
Le Diable Probablement,5
Le Vent Nous Emportera,5
Line Describing A Cone,5
Listen To Britain,5
Lola,5
Lone Star,5
"Love Is The Message, The Message Is Death",5
Masculin Féminin  15 Faits Précis,5
Mediterranee,5
Mother And Son,5
Naked,5
New York New York,5
On The Waterfront,5
Örökbefogadas,5
Orphée,5
Oyu-Sama,5
Peggy And Fred In Hell,5
Persepolis,5
Personal Problems,5
Point Blank,5
Profondo Rosso,5
Qingmei Zhuma,5
Reassemblage,5
Rose Hobart,5
Rosetta,5
Seven Chances,5
Sholay,5
Skammen,5
Speed Racer,5
Stop Making Sense,5
Stray Dogs,5
The Age Of Innocence,5
The Apple,5
The Beaches Of Agnès,5
The City Of God,5
The Cook The Thief His Wife & Her Lover,5
The Devils,5
The End Of Evangelion,5
The Ghost And Mrs. Muir,5
The Long Goodbye,5
The Master,5
The New World,5
The Producers,5
The Scarlet Empress,5
The Servant,5
The Sun Shines Bright,5
The Terminator,5
This Is Spinal Tap   A Rockumentary By Martin Di Bergi,5
Tih Minh,5
Tini Zabutykh Predkiv,5
Titane,5
Tongnian Wangshi,5
Tystnaden,5
Ultimo Tango A Parigi,5
Umarete Wa Mita Keredo,5
Us,5
Vredens Dag,5
Week End,5
Window Water Baby Moving,5
Yojimbo,5
Zabriskie Point,5
Zhantai,5
Zir-E Darakhtan-E Zeyton,5
Zodiac,5
Zorns Lemma,5
(Nostalgia),4
A Hard Day's Night,4
A Torinói Ió,4
Ahfei Zhenjuang,4
Amélie,4
Amour,4
Angel,4
Ashes And Diamonds,4
Asparagus,4
Ba Wang Bie Ji,4
Bakushû,4
Before Sunrise,4
Begone Dull Care,4
"Belfast, Maine",4
Beyond The Valley Of The Dolls,4
Bigger Than Life,4
Black Panther,4
