selection_manual_fix,weighted_votes
Appunti Per Un'orestiade Africana,2
Ashes And Diamonds,2
Asparagus,2
Assault On Precinct 13,2
At Sea,2
Baby's Breakfast,2
Badlands,2
Banditi A Orgosolo,2
Bara No Soretsu,2
Barres,2
Bigger Than Life,2
Bouquets 1-10,2
Brief Encounters,2
Cabaret,2
Carlos  Première Partie,2
Cat People,2
Cemetery Of Splendour,2
Ceux De Chez Nous,2
Close Encounters Of The Third Kind,2
Dalla Nube Alla Resistenza,2
Dawn Of The Dead,2
Dekalog,2
Deliverance,2
Démanty Noci,2
Der Tiger Von Eschnapur,2
Diary Of A Country Priest,2
Die Tausend Augen Des Dr. Mabuse,2
Dirty Harry,2
Dishonored,2
Do Ma Dan,2
Dolor Y Gloria,2
"Dr. Mabuse, Der Spieler 1. Teil: Der Große Spieler  Spieler - Ein Bild Unserer Zeit",2
Dupe Od Mramora,2
Edvard Munch,2
El Mumia,2
Elephant: 2003,2
Eltávozott Nap,2
Emperor Of The North,2
Empire,2
Enthusiasm,2
Eraserhead,2
Fantasia,2
Fat City,2
Fata Morgana,2
Faust  Eine Deutsche Volkssage,2
Faustrecht Der Freheit,2
Fellini-Satyricon,2
Femmes Femmes,2
Film D'amore E D'anarchia,2
Fish Tank,2
Francisca,2
Freaks,2
Fuego En Castilla,2
Gentlemen Prefer Blondes,2
Groundhog Day,2
Hannah And Her Sisters,2
Harlan County Usa,2
Hat Wolff Von Amerongen Konkursdelikte Begangen?,2
Hatari!,2
Hidden,2
Howl's Moving Castle,2
I Am Not Your Negro,2
I Walked With A Zombie,2
Ida,2
Il Grande Silenzio,2
Il Portiere Di Notte,2
Inglourious Basterds,2
Interstellar,2
Jane B. Par Agnes V.,2
Johnny Flash,2
Jukti Takko Ar Gappo,2
Jurassic Park,2
Juventude Em Marcha,2
Kaagaz Ke Phool,2
Kárhozat,2
Keuk Jang Jeon,2
Krótki Film O Zabijaniu,2
Kynodontas,2
L' Empire Des Sens,2
L' Inconnu Du Lac,2
L'invitation Au Voyage,2
La Belle Et La Bête,2
La Commune,2
La Double Vie De Véronique,2
La Fée Aux Choux,2
La Maison Des Bois,2
La Nuit Américaine,2
La Région Centrale,2
Ladies' Man,2
Lady Windermere's Fan,2
Land Without Bread,2
Le Livre D'image,2
Le Pont Du Nord,2
Le Quai Des Brumes,2
Le Voyage Dans La Lune,2
Les Choses De La Vie,2
Les Triplettes De Belleville,2
Les Vacances De M. Hulot,2
Letter From My Village,2
Lift To The Scaffold,2
Limite,2
Lone Star,2
Louisiana Story,2
Love Affair,2
Mädchen In Uniform,2
Make Way For Tomorrow,2
Mamma Roma,2
Man Of Aran,2
Masculin Féminin  15 Faits Précis,2
Material,2
Maudite Soit La Guerre,2
Memento,2
Miami Vice,2
Mother And Son,2
Moulin Rouge,2
Mr. Klein,2
My Own Private Idaho,2
Naked,2
Napoléon,2
Night On Earth,2
No Country For Old Men,2
Notre Nazi,2
O Lucky Man!,2
Obrazy Stareho Sveta,2
Offret  Sacrificatio,2
Ohayo,2
Old Joy,2
Om Shanti Om,2
On Connaît La Chanson,2
Opening Night,2
Os Mutantes,2
Pan's Labyrinth,2
Paris Is Burning,2
Parsifal,2
Persepolis,2
Phantom Thread,2
Poznavaya Belyi Svet,2
Rain,2
Ran,2
Ratcatcher,2
Recordações Da Casa Amarela,2
Red River,2
Rekopis Znaleziony W Saragossie,2
Rentrée Des Classes,2
"Right Now, Wrong Then",2
Roma: 1972,2
Roma: 2018,2
Rosemary's Baby,2
Route One/Usa,2
Russki Kovcheg,2
Ryan's Daughter,2
Salvatore Giuliano,2
Sånger Från Andra Våningen,2
Saute Ma Ville,2
Saving Private Ryan,2
Seven Chances,2
Shoes,2
Short Cuts,2
Showgirls,2
Skammen,2
Solaris,2
Sommaren Med Monika,2
Son Nom De Venise Dans Calcutta Desert,2
Sonatine,2
Sorcerer,2
Sortie D'usine,2
Spring In A Small Town,2
Stagecoach,2
Standard Gauge,2
Stars In My Crown,2
Strange Days,2
Sylvie,2
Syndromes And A Century,2
Teorema,2
Terje Vigen,2
Terminator 2  Judgment Day,2
The Art Of Vision,2
The Asphalt Jungle,2
The Assassin,2
The Awful Truth,2
The Beaches Of Agnès,2
The Bigamist,2
The Chelsea Girls,2
The Cook The Thief His Wife & Her Lover,2
The Dreamed Path,2
The Fly,2
The Godfather Part Iii,2
The Grand Budapest Hotel,2
The Hour Of The Furnaces,2
The Ice Storm,2
The Inheritance,2
The Innocents,2
The King Of Comedy,2
The Lady From Shanghai,2
The Long Day Closes,2
The Lord Of The Rings  The Fellowship Of The Ring,2
The Magnificent Ambersons,2
The Maltese Falcon,2
The Pillow Book,2
The Prestige,2
The Sorrow And The Pity,2
The Souvenir,2
The Swimmer,2
The Text Of Light,2
The Towering Inferno,2
The Watermelon Woman,2
The Wicker Man,2
The Wonders,2
They Live By Night,2
Tih Minh,2
Tini Zabutykh Predkiv,2
Tongnian Wangshi,2
Travolti Da Un Insolito Destino Nell'azzurro Mare D'agosto,2
Tsuki Wa Noborinu,2
Two For The Road,2
Un Coeur En Hiver,2
Une Sale Histoire,2
Unsichtbare Gegner,2
